http://127.0.0.1/ontology/api.lufthansa.com-OperationsSchedulesFromDateTimeByOriginAndDestinationGet-get.owl#operationsschedulesfromdatetimebyoriginanddestinationget_scheduleresource_schedule_schedule_flight_details_dateperiod_expiration;;;
http://127.0.0.1/ontology/api.lufthansa.com-OperationsSchedulesFromDateTimeByOriginAndDestinationGet-get.owl#operationsschedulesfromdatetimebyoriginanddestinationget_scheduleresource_meta_@version;WebPage;version;Text
http://127.0.0.1/ontology/api.lufthansa.com-OperationsSchedulesFromDateTimeByOriginAndDestinationGet-get.owl#operationsschedulesfromdatetimebyoriginanddestinationget_scheduleresource_meta_link_link_@href;WebPage;url;URL
http://127.0.0.1/ontology/api.lufthansa.com-OperationsSchedulesFromDateTimeByOriginAndDestinationGet-get.owl#operationsschedulesfromdatetimebyoriginanddestinationget_scheduleresource_meta_link_link_@rel;;;
http://127.0.0.1/services/api.lufthansa.com-ReferencesAirlinesByAirlineCodeGet-get.owls#airlineCode;Airline;iataCode;Text
http://127.0.0.1/services/api.lufthansa.com-ReferencesAirlinesByAirlineCodeGet-get.owls#Accept;WebPage;fileFormat;Text
http://127.0.0.1/services/api.lufthansa.com-ReferencesAirlinesByAirlineCodeGet-get.owls#Response;Airline;;
http://127.0.0.1/ontology/api.lufthansa.com-ReferencesAirlinesByAirlineCodeGet-get.owl#referencesairlinesbyairlinecodeget_airlineresource_airlines_airline_otherids_otherid_@description;;;
http://127.0.0.1/ontology/api.lufthansa.com-ReferencesAirlinesByAirlineCodeGet-get.owl#referencesairlinesbyairlinecodeget_airlineresource_airlines_airline_otherids_otherid_$;;;
http://127.0.0.1/ontology/api.lufthansa.com-ReferencesAirlinesByAirlineCodeGet-get.owl#referencesairlinesbyairlinecodeget_airlineresource_airlines_airline_airlineid;Airline;identifier;Text
http://127.0.0.1/ontology/api.lufthansa.com-ReferencesAirlinesByAirlineCodeGet-get.owl#referencesairlinesbyairlinecodeget_airlineresource_airlines_airline_airlineid_icao;;;
http://127.0.0.1/ontology/api.lufthansa.com-ReferencesAirlinesByAirlineCodeGet-get.owl#referencesairlinesbyairlinecodeget_airlineresource_airlines_airline_names_name_@languagecode;Language;identifier;Text
http://127.0.0.1/ontology/api.lufthansa.com-ReferencesAirlinesByAirlineCodeGet-get.owl#referencesairlinesbyairlinecodeget_airlineresource_airlines_airline_names_name_$;Airline;name;Text
